Model,Embedding,FeatureSet,MAE,Accuracy
DENSE,cls,price-only,0.614206004822923,0.4915254237288136
DENSE,cls,price-only,0.7085174245209076,0.6271186440677966
DENSE,cls,price-only,1.1731205730745455,0.4406779661016949
DENSE,cls,price-only,1.2716156981273226,0.423728813559322
LSTM,cls,price-only,0.06996243219311465,0.5254237288135594
LSTM,cls,price-only,0.1340759749477517,0.3898305084745763
LSTM,cls,price-only,0.059071813667951195,0.5254237288135594
LSTM,cls,price-only,0.10990328332010751,0.5084745762711864
DENSE,mean,price-only,0.5465660050881314,0.5084745762711864
DENSE,mean,price-only,0.8991745152949593,0.576271186440678
DENSE,mean,price-only,0.6849332602027352,0.4745762711864407
DENSE,mean,price-only,3.990139537055255,0.3728813559322034
LSTM,mean,price-only,0.031013223536479326,0.5084745762711864
LSTM,mean,price-only,0.0747657147004464,0.5932203389830508
LSTM,mean,price-only,0.08898793286000858,0.4915254237288136
LSTM,mean,price-only,0.08299810170695784,0.423728813559322
DENSE,max,price-only,0.9814325159620124,0.4915254237288136
DENSE,max,price-only,0.7504421857724424,0.4745762711864407
DENSE,max,price-only,1.0627205644758073,0.4915254237288136
DENSE,max,price-only,3.4549460542498553,0.6271186440677966
LSTM,max,price-only,0.03389084619539987,0.5423728813559322
LSTM,max,price-only,0.10867341116349487,0.4915254237288136
LSTM,max,price-only,0.04545263560659088,0.5084745762711864
LSTM,max,price-only,0.12980007372616778,0.6101694915254238
DENSE,cls,sentiment-only,0.013366857387503967,0.4915254237288136
DENSE,cls,sentiment-only,0.010872910930642549,0.3559322033898305
DENSE,cls,sentiment-only,0.4306779750668597,0.559322033898305
DENSE,cls,sentiment-only,0.021752977634595834,0.6101694915254238
LSTM,cls,sentiment-only,0.013400884431786468,0.4745762711864407
LSTM,cls,sentiment-only,0.0103310032402171,0.6440677966101694
LSTM,cls,sentiment-only,0.026643494575424854,0.4406779661016949
LSTM,cls,sentiment-only,0.01751466425262379,0.6271186440677966
DENSE,mean,sentiment-only,0.024514091767045294,0.4915254237288136
DENSE,mean,sentiment-only,0.010815466506337247,0.3559322033898305
DENSE,mean,sentiment-only,0.04057881365966526,0.559322033898305
DENSE,mean,sentiment-only,0.01746078696920418,0.6271186440677966
LSTM,mean,sentiment-only,0.020864946770717863,0.5084745762711864
LSTM,mean,sentiment-only,0.01837255664650535,0.3559322033898305
LSTM,mean,sentiment-only,0.020139713746183185,0.4576271186440678
LSTM,mean,sentiment-only,0.02024454598964103,0.3728813559322034
DENSE,max,sentiment-only,0.013413033775485618,0.4915254237288136
DENSE,max,sentiment-only,0.011017611952932762,0.3559322033898305
DENSE,max,sentiment-only,1.0414675791730514,0.559322033898305
DENSE,max,sentiment-only,0.26281091986636496,0.3728813559322034
LSTM,max,sentiment-only,0.016222586840378243,0.5084745762711864
LSTM,max,sentiment-only,0.01014472541907507,0.6440677966101694
LSTM,max,sentiment-only,0.020422058911816744,0.4406779661016949
LSTM,max,sentiment-only,0.017119783205984056,0.6271186440677966
DENSE,cls,combined,0.03499220892558711,0.5084745762711864
DENSE,cls,combined,0.09147675412644218,0.5254237288135594
DENSE,cls,combined,0.01986294262009376,0.4406779661016949
DENSE,cls,combined,0.10290293468698253,0.576271186440678
LSTM,cls,combined,0.014221772300133462,0.559322033898305
LSTM,cls,combined,0.017323719207263867,0.3389830508474576
LSTM,cls,combined,0.0213461822683656,0.4915254237288136
LSTM,cls,combined,0.025180371183361444,0.4576271186440678
DENSE,mean,combined,0.18496190948574906,0.4406779661016949
DENSE,mean,combined,0.04577025282539735,0.423728813559322
DENSE,mean,combined,0.020188350865999582,0.4067796610169492
DENSE,mean,combined,0.11916164974594945,0.3559322033898305
LSTM,mean,combined,0.014061045322209026,0.576271186440678
LSTM,mean,combined,0.03151104935005316,0.3559322033898305
LSTM,mean,combined,0.023555298957518758,0.4745762711864407
LSTM,mean,combined,0.02261275204373227,0.5423728813559322
DENSE,max,combined,0.04565727208822097,0.5084745762711864
DENSE,max,combined,0.01965310091045257,0.3559322033898305
DENSE,max,combined,0.020330550674626816,0.4406779661016949
DENSE,max,combined,0.021783217057636663,0.6271186440677966
LSTM,max,combined,0.013395863193300012,0.4576271186440678
LSTM,max,combined,0.012123830349628247,0.6440677966101694
LSTM,max,combined,0.023107834453276063,0.559322033898305
LSTM,max,combined,0.018498491782798214,0.423728813559322
