Model,Embedding,FeatureSet,Accuracy,AUC
DENSE,cls,combined,0.47457627118644063,0.5283612060835292
DENSE,cls,price-only,0.521186440677966,0.48860096468989395
DENSE,cls,sentiment-only,0.4830508474576271,0.5125341883962574
DENSE,max,combined,0.5466101694915254,0.5045302933687689
DENSE,max,price-only,0.5084745762711864,0.5187398040392596
DENSE,max,sentiment-only,0.5508474576271186,0.5152763902763903
DENSE,mean,combined,0.538135593220339,0.4863299357400991
DENSE,mean,price-only,0.4915254237288136,0.4880266232353347
DENSE,mean,sentiment-only,0.4788135593220339,0.5255159541003461
LSTM,cls,combined,0.5084745762711864,0.47894121950383295
LSTM,cls,price-only,0.5084745762711864,0.5139764316715315
LSTM,cls,sentiment-only,0.4788135593220339,0.5060449499650952
LSTM,max,combined,0.4830508474576271,0.5073396065682817
LSTM,max,price-only,0.5042372881355932,0.45576085757573964
LSTM,max,sentiment-only,0.4788135593220339,0.497400108516261
LSTM,mean,combined,0.5550847457627118,0.477594272603347
LSTM,mean,price-only,0.5296610169491526,0.45004465539855737
LSTM,mean,sentiment-only,0.4788135593220339,0.5481800736337942
