Model,Embedding,FeatureSet,MAE,Accuracy
DENSE,cls,price-only,1.1144472982645186,0.4406779661016949
DENSE,cls,price-only,1.583110697703451,0.3559322033898305
DENSE,cls,price-only,0.6761563745074687,0.3898305084745763
DENSE,cls,price-only,1.4258486281429774,0.576271186440678
LSTM,cls,price-only,0.04799160575327343,0.5254237288135594
LSTM,cls,price-only,0.14424516127859935,0.3728813559322034
LSTM,cls,price-only,0.09902457881657181,0.4915254237288136
LSTM,cls,price-only,0.07528702050383133,0.5423728813559322
DENSE,mean,price-only,0.8989393449849797,0.5254237288135594
DENSE,mean,price-only,1.111664153775662,0.576271186440678
DENSE,mean,price-only,0.5716633204392647,0.423728813559322
DENSE,mean,price-only,4.749547231435229,0.576271186440678
LSTM,mean,price-only,0.050095817256331526,0.576271186440678
LSTM,mean,price-only,0.2009977949524458,0.576271186440678
LSTM,mean,price-only,0.08279795446941818,0.5254237288135594
LSTM,mean,price-only,0.17409716723734311,0.5932203389830508
DENSE,max,price-only,1.0332561071753497,0.5254237288135594
DENSE,max,price-only,1.785201481583045,0.4745762711864407
DENSE,max,price-only,1.3641691036382353,0.4576271186440678
DENSE,max,price-only,1.5514219715365252,0.5423728813559322
LSTM,max,price-only,0.06431951214928573,0.5423728813559322
LSTM,max,price-only,0.09864817945151978,0.5254237288135594
LSTM,max,price-only,0.08946555934354644,0.4915254237288136
LSTM,max,price-only,0.0856915093889864,0.4576271186440678
DENSE,w2v,price-only,0.8716596480517879,0.5490196078431373
DENSE,w2v,price-only,1.4479759736572453,0.6274509803921569
DENSE,w2v,price-only,1.5589334189244197,0.4117647058823529
DENSE,w2v,price-only,1.5172628730295108,0.5490196078431373
LSTM,w2v,price-only,0.0737851200101797,0.43137254901960786
LSTM,w2v,price-only,0.0977372861293203,0.6470588235294118
LSTM,w2v,price-only,0.11743687533043264,0.5490196078431373
LSTM,w2v,price-only,0.12487873965674044,0.5294117647058824
DENSE,googlenews,price-only,3.9082240126045784,0.6078431372549019
DENSE,googlenews,price-only,3.0522783982271653,0.39215686274509803
DENSE,googlenews,price-only,0.8479398432407024,0.49019607843137253
DENSE,googlenews,price-only,2.255381765286551,0.5490196078431373
LSTM,googlenews,price-only,0.05562260961565387,0.49019607843137253
LSTM,googlenews,price-only,0.16527970607496764,0.4117647058823529
LSTM,googlenews,price-only,0.10142251206314996,0.5490196078431373
LSTM,googlenews,price-only,0.07521753072598732,0.5294117647058824
DENSE,cls,sentiment-only,0.4359397248201374,0.4915254237288136
DENSE,cls,sentiment-only,0.01137989278205012,0.6101694915254238
DENSE,cls,sentiment-only,0.020012528501333997,0.559322033898305
DENSE,cls,sentiment-only,0.017810444819986174,0.6271186440677966
LSTM,cls,sentiment-only,0.0207020409340765,0.5254237288135594
LSTM,cls,sentiment-only,0.01918343707214429,0.423728813559322
LSTM,cls,sentiment-only,0.022363018736183033,0.5254237288135594
