Model,Embedding,FeatureSet,MAE,Accuracy
DENSE,cls,combined,0.06700615161275596,0.5466101694915254
DENSE,cls,price-only,1.199890749654604,0.4406779661016949
DENSE,cls,sentiment-only,0.12128564773087691,0.5720338983050848
DENSE,googlenews,combined,0.40355212871184587,0.4950980392156863
DENSE,googlenews,price-only,2.515956004839749,0.5098039215686274
DENSE,googlenews,sentiment-only,0.0276969737722379,0.46568627450980393
DENSE,max,combined,0.09016790402136789,0.4872881355932204
DENSE,max,price-only,1.4335121659832888,0.5
DENSE,max,sentiment-only,0.1261059362113552,0.4152542372881356
DENSE,mean,combined,0.05334444141022474,0.4788135593220339
DENSE,mean,price-only,1.8329535126587837,0.5254237288135594
DENSE,mean,sentiment-only,0.022790741006245833,0.5593220338983051
DENSE,w2v,combined,0.7014488305390371,0.4950980392156863
DENSE,w2v,price-only,1.3489579784157408,0.5343137254901961
DENSE,w2v,sentiment-only,0.03679379732764301,0.4803921568627451
LSTM,cls,combined,0.022760701337489836,0.4322033898305085
LSTM,cls,price-only,0.09163709158806899,0.48305084745762716
LSTM,cls,sentiment-only,0.02122914743502229,0.5423728813559322
LSTM,googlenews,combined,0.06224419866027511,0.5588235294117647
LSTM,googlenews,price-only,0.09938558961993971,0.4950980392156863
LSTM,googlenews,sentiment-only,0.02272903271289005,0.5588235294117647
LSTM,max,combined,0.019703903878846192,0.5466101694915254
LSTM,max,price-only,0.0845311900833346,0.5042372881355932
LSTM,max,sentiment-only,0.019984543853379895,0.5169491525423728
LSTM,mean,combined,0.02314913729248975,0.5169491525423728
LSTM,mean,price-only,0.12699718347888467,0.5677966101694916
LSTM,mean,sentiment-only,0.019371611399923428,0.4788135593220339
LSTM,w2v,combined,0.08811161746781274,0.5147058823529411
LSTM,w2v,price-only,0.10345950528166827,0.5392156862745099
LSTM,w2v,sentiment-only,0.021552341700577814,0.47549019607843135
